"name","type","lat","lon","color"
"Mankhurd","metro",19.049217,72.931231,"yellow"
"District Court (Pink Line)","metro",18.528328,73.856089,"purple"
"Wagle Circle","metro",19.196284,72.94925,""
"Shivai Nagar","metro",19.21739,72.954171,""
"Neelkanth Terminal","metro",19.221187,72.959392,""
"Ghandi Nagar","metro",19.219113,72.967518,""
"Dr. Kashinath Ghanekar Natyagruha","metro",19.229168,72.969884,""
"Dongripada","metro",19.248771,72.974732,"green"
"Vijay Nagari","metro",19.255467,72.973519,""
"Waghbil","metro",19.263921,72.979427,""
"Waterfront","metro",19.262495,72.988409,""
"Patlipada","metro",19.247301,72.983182,""
"Yervada Metro Station","metro",18.545278,73.886533,"aqua"
"Shivaji Nagar Railway Station","metro",18.532398,73.851385,"purple"
"District Court Metro Station","metro",18.526713,73.857569,"aqua"
"Khadki","metro",18.562262,73.842083,"purple"
"Savitribal Phule Pune University","metro",18.542347,73.827173,""
"YASHADA","metro",18.546325,73.819665,""
"Krushi Anusandhan","metro",18.550269,73.808227,""
"Baner","metro",18.554964,73.797938,""
"Baner Gaon","metro",18.559196,73.790598,""
"Balewadi Phata","metro",18.564186,73.779766,""
"High Street","metro",18.570512,73.774838,""
"NICMAR","metro",18.575034,73.766062,""
"Jakat Naka","metro",18.590967,73.7463,""
"Hinjawadi","metro",18.592395,73.737357,""
"Bhakti Shakti","metro",18.662561,73.774574,""
"Nigdi","metro",18.658399,73.778398,""
"Akurdi","metro",18.65116,73.784747,""
"Chinchwad","metro",18.639173,73.794931,""
"Vitthalwadi","metro",18.598036,74.004574,""
"Bakori Phata","metro",18.590216,73.997801,""
"Siddharth Nagar","metro",18.582664,73.988709,""
"Wagholi","metro",18.58061,73.983649,""
"Wagheshwar Temple","metro",18.580696,73.978999,""
"Upper Kharadi Rd","metro",18.575658,73.962641,""
"Ubale Nagar","metro",18.572609,73.95594,""
"Tuljabhavani Nagar","metro",18.567097,73.946837,""
"Kharadi Bypass","metro",18.562359,73.937809,""
"Somnath Nagar","metro",18.562864,73.928401,""
"Viman Nagar","metro",18.561482,73.920388,""
"Karve Putala","metro",18.502603,73.817815,""
"Nal Stop","metro",18.505488,73.824285,"aqua"
"Dahanukar Colony","metro",18.495987,73.81348,""
"Karve Nagar","metro",18.488076,73.813461,""
"Warje","metro",18.47996,73.805508,""
"Daulat Nagar","metro",18.472616,73.811385,""
"Manik Baug","metro",18.467138,73.817952,""
"Dalvewadi","metro",18.454999,73.797143,""
"Nanded City","metro",18.457185,73.802869,""
"Dhayari Phata","metro",18.45892,73.809396,""
"Hingane Chowk","metro",18.481056,73.825802,""
"Rajaram Pul","metro",18.488103,73.829398,""
"Deshpande Udyan","metro",18.494875,73.837048,""
"Dandekar Pul","metro",18.50084,73.84518,""
"Swargate North","metro",18.500704,73.856872,"purple"
"Chandani Chowk","metro",18.507636,73.786698,""
"Market Yard","metro",18.487786,73.857518,""
"Bibwewadi","metro",18.475233,73.856249,""
"Padmavati","metro",18.461007,73.858097,""
"Balaji Nagar","metro",18.453227,73.858379,""
